country_code,country_id
PK,1
BB,2
PS,3
CR,4
CU,5
CI,6
PA,7
SK,8
AL,9
UG,10
ES,11
GR,12
SE,13
LV,14
DK,15
ME,16
GT,17
PT,18
MA,19
QA,20
NG,21
SV,22
GI,23
TT,24
OM,25
NL,26
MU,27
CH,28
FJ,29
GF,30
MX,31
IN,32
BY,33
MC,34
BS,35
TH,36
HN,37
BM,38
IT,39
KW,40
PF,41
BG,42
TD,43
PY,44
BE,45
TR,46
EE,47
ZM,48
RO,49
AG,50
HK,51
FR,52
AD,53
AE,54
VE,55
HU,56
PE,57
SG,58
AZ,59
DE,60
YE,61
UY,62
SA,63
DO,64
CO,65
JM,66
BH,67
GG,68
RS,69
JO,70
CA,71
CZ,72
CY,73
LT,74
AO,75
ZW,76
BA,77
US,78
KE,79
LI,80
TZ,81
BO,82
IQ,83
SI,84
IS,85
AT,86
LB,87
LU,88
EC,89
NE,90
GH,91
EG,92
JP,93
MY,94
PL,95
DZ,96
KR,97
NZ,98
AU,99
GQ,100
SC,101
CL,102
TW,103
MZ,104
UA,105
BR,106
NI,107
ML,108
TC,109
SM,110
NO,111
SN,112
BZ,113
ID,114
MD,115
FI,116
MT,117
HR,118
LY,119
PH,120
LC,121
CM,122
TN,123
IL,124
CV,125
IE,126
MG,127
ZA,128
GB,129
AR,130
MK,131
