title,type,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Forrest Gump,movie,1994,tt0109830,8.8,2316353
The Fifth Element,movie,1997,tt0119116,7.6,517121
Kill Bill: Vol. 1,movie,2003,tt0266697,8.2,1221791
Jarhead,movie,2005,tt0418763,7,211547
Unforgiven,movie,1992,tt0105695,8.2,443775
Eternal Sunshine of the Spotless Mind,movie,2004,tt0338013,8.3,1103711
Amores Perros,movie,2000,tt0245712,8,256582
A History of Violence,movie,2005,tt0399146,7.4,258997
2001: A Space Odyssey,movie,1968,tt0062622,8.3,735115
Talk to Her,movie,2002,tt0287467,7.9,118711
8 Mile,movie,2002,tt0298203,7.2,330148
Paradise Now,movie,2005,tt0445620,7.4,24303
Million Dollar Baby,movie,2004,tt0405159,8.1,732704
Billy Elliot,movie,2000,tt0249462,7.7,145859
American History X,movie,1998,tt0120586,8.5,1207612
War of the Worlds,movie,2005,tt0407304,6.5,482841
Mars Attacks!,movie,1996,tt0116996,6.4,248507
Before Sunrise,movie,1995,tt0112471,8.1,348675
Memento,movie,2000,tt0209144,8.4,1348196
Hero,movie,2002,tt0299977,7.9,189191
Before Sunset,movie,2004,tt0381681,8.1,294667
Nausicaä of the Valley of the Wind,movie,1984,tt0087544,8,186768
Raiders of the Lost Ark,movie,1981,tt0082971,8.4,1053270
Indiana Jones and the Temple of Doom,movie,1984,tt0087469,7.5,543268
Dirty Dancing,movie,1987,tt0092890,7.1,263244
Indiana Jones and the Last Crusade,movie,1989,tt0097576,8.2,823695
Beverly Hills Cop,movie,1984,tt0086960,7.4,219776
Beverly Hills Cop II,movie,1987,tt0092644,6.6,141058
Gladiator,movie,2000,tt0172495,8.5,1670968
All About My Mother,movie,1999,tt0185125,7.8,104743
"Lock, Stock and Two Smoking Barrels",movie,1998,tt0120735,8.1,625462
Léon: The Professional,movie,1994,tt0110413,8.5,1272906
Open Hearts,movie,2002,tt0315543,7.5,11099
Taxi Driver,movie,1976,tt0075314,8.2,948985
Run Lola Run,movie,1998,tt0130827,7.6,210445
Snatch,movie,2000,tt0208092,8.2,927170
Scarface,movie,1983,tt0086250,8.3,939069
Italian for Beginners,movie,2000,tt0243862,7,14044
The Big Lebowski,movie,1998,tt0118715,8.1,874969
Charlie and the Chocolate Factory,movie,2005,tt0367594,6.7,540431
